;;;:260864003=;;
CD66b+ Granulocytes | Freq. of CD45+ Leukocytes;CD66b+ Granulocytes;117400003;Freq. of CD45+ Leukocytes;732272000;117400003:260864003=732272000
CD3+ T cells | Freq. of CD45+ Leukocytes;CD3+ T cells;(116744006:246238003=57184004);Freq. of CD45+ Leukocytes;732272000;(116744006:246238003=57184004):260864003=732272000
CD4+ T cells | Freq. of CD45+ Leukocytes;CD4+ T cells;115412003;Freq. of CD45+ Leukocytes;732272000;115412003:260864003=732272000
CD4+Foxp3+CD25+ Treg | Freq. of CD45+ Leukocytes;CD4+Foxp3+CD25+ Treg;;Freq. of CD45+ Leukocytes;732272000;
HLA-DR+CD38+ CD4+ T cells | Freq. of CD4+ T cells;HLA-DR+CD38+ CD4+ T cells;(62038004 + 116845004 + 115412003);Freq. of CD4+ T cells;115412003;(62038004 + 116845004 + 115412003):260864003=115412003
CD38+ CD4+ T cells | Freq. of CD4+ T cells;CD38+ CD4+ T cells;(116845004 + 115412003);Freq. of CD4+ T cells;115412003;(116845004 + 115412003):260864003=115412003
HLA-DR+ CD4+ T cells | Freq. of CD4+ T cells;HLA-DR+ CD4+ T cells;(62038004 + 115412003);Freq. of CD4+ T cells;115412003;(62038004 + 115412003):260864003=115412003
ki67+CD4+ T cells | Freq. of CD4+ T cells+A:A;ki67+CD4+ T cells;(259981004 + 115412003);Freq. of CD4+ T cells;115412003;(259981004 + 115412003):260864003=115412003
CD4+CD8+ T cells | Freq. of CD45+ Leukocytes;CD4+CD8+ T cells;(115412003 + (117539009:246238003=57184004));Freq. of CD45+ Leukocytes;732272000;(115412003 + (117539009:246238003=57184004)):260864003=732272000
CD4-CD8- T cells | Freq. of CD45+ Leukocytes;CD4-CD8- T cells;(115412003 + (117539009:246238003=57184004));Freq. of CD45+ Leukocytes;732272000;(115412003 + (117539009:246238003=57184004)):260864003=732272000
CD8+ T cells | Freq. of CD45+ Leukocytes;CD8+ T cells;(732271007:246238003=57184004);Freq. of CD45+ Leukocytes;732272000;(732271007:246238003=57184004):260864003=732272000
HLA-DR+CD38+CD8+ | Freq. of CD8+ T cells;HLA-DR+CD38+CD8+;(62038004 + 116845004 + (117539009:246238003=57184004));Freq. of CD8+ T cells;(732271007:246238003=57184004);(62038004 + 116845004 + (117539009:246238003=57184004)):260864003=(732271007:246238003=57184004)
CD38+CD8+ | Freq. of CD8+ T cells;CD38+CD8+;(116845004 + (117539009:246238003=57184004));Freq. of CD8+ T cells;(732271007:246238003=57184004);(116845004 + (117539009:246238003=57184004)):260864003=(732271007:246238003=57184004)
HLA-DR+CD8+ | Freq. of CD8+ T cells;HLA-DR+CD8+;(62038004 + (117539009:246238003=57184004));Freq. of CD8+ T cells;(732271007:246238003=57184004);(62038004 + (117539009:246238003=57184004)):260864003=(732271007:246238003=57184004)
CD8+ T cells/ki67+CD8+ | Freq. of CD8+ T cells;CD8+ T cells/ki67+CD8+;(732271007:246238003=57184004);Freq. of CD8+ T cells;(732271007:246238003=57184004);(732271007:246238003=57184004):260864003=(732271007:246238003=57184004)
CD25+CD8+ | Freq. of CD8+ T cells;CD25+CD8+;(116844000 + 732271007);Freq. of CD8+ T cells;(732271007:246238003=57184004);(116844000 + 732271007):260864003=(732271007:246238003=57184004)
CD19+ B cells | Freq. of CD45+ Leukocytes;CD19+ B cells;115417009;Freq. of CD45+ Leukocytes;732272000;115417009:260864003=732272000
CD38+CD19+ Plasma B cells | Freq. of CD19+ B cells;CD38+CD19+ Plasma B cells;(413779000:410656007=113335003);Freq. of CD19+ B cells;115417009;(413779000:410656007=113335003):260864003=115417009
ki67+19+ B cells | Freq. of CD19+ B cells;ki67+19+ B cells;(259981004 + 115417009);Freq. of CD19+ B cells;115417009;(259981004 + 115417009):260864003=115417009
IgD+CD38mid/neg Naive B cells | Freq. of CD19+ B cells;IgD+CD38mid/neg Naive B cells;;Freq. of CD19+ B cells;115417009;
IgD-CD38mid/neg Memory B cells | Freq. of CD19+ B cells;IgD-CD38mid/neg Memory B cells;;Freq. of CD19+ B cells;115417009;
IgD+ CD38high Transitional B cells | Freq. of CD19+ B cells;IgD+ CD38high Transitional B cells;;Freq. of CD19+ B cells;115417009;
IgD- CD38high Plasmablast | Freq. of CD19+ B cells;IgD- CD38high Plasmablast;;Freq. of CD19+ B cells;115417009;
CD123+HLA-DR+ pDCs | Freq. of CD45+ Leukocytes;CD123+HLA-DR+ pDCs;((724307004 + 62038004):1290089009);Freq. of CD45+ Leukocytes;732272000;((724307004 + 62038004):1290089009):260864003=732272000
CD123+HLA-DR- Basophils | Freq. of CD45+ Leukocytes;CD123+HLA-DR- Basophils;((724307004 + 62038004):702963004);Freq. of CD45+ Leukocytes;732272000;((724307004 + 62038004):702963004):260864003=732272000
NKG2D+ NK cells | Freq. of CD45+ Leukocytes;NKG2D+ NK cells;(401094008 + 259717003);Freq. of CD45+ Leukocytes;732272000;(401094008 + 259717003):260864003=732272000
ki67+NKG2D+ | Freq. of NKG2D+ NK cells;ki67+NKG2D+;(259981004 + 401094008);Freq. of NKG2D+ NK cells;259717003;(259981004 + 401094008):260864003=259717003
NKG2D-HLA-DR+ Monocytes | Freq. of CD45+ Leukocytes;NKG2D-HLA-DR+ Monocytes;(401094008 + 62038004);Freq. of CD45+ Leukocytes;732272000;(401094008 + 62038004):260864003=732272000
NKG2D-HLA-DR+ | Median (HLA-DR);NKG2D-HLA-DR+;(401094008 + 62038004);Median (HLA-DR);62038004;(401094008 + 62038004):260864003=62038004
NKG2D-HLA-DR+ | Median (CD38);NKG2D-HLA-DR+;(401094008 + 62038004);Median (CD38);413787004;(401094008 + 62038004):260864003=413787004
CD14+ CM | Freq. of NKG2D-HLA-DR+;CD14+ CM;116752009;Freq. of NKG2D-HLA-DR+;(401094008 + 62038004);116752009:260864003=(401094008 + 62038004)
ki67+ CM | Freq. of CM;ki67+ CM;259981004;Freq. of CM (Corticomotoneuronal);31513005;259981004:260864003=31513005
CD38high CM | Freq. of CM;CD38high CM;116827004;Freq. of CM;31513005;116827004:260864003=31513005
CD14+ CM | Median (Siglec-1);CD14+ CM;116752009;Median (Siglec-1);43211003;116752009:260864003=43211003
CD14+CD16+ Int M | Freq. of NKG2D-HLA-DR+;CD14+CD16+ Int M;(116752009 + 117554003 + 413919004);Freq. of NKG2D-HLA-DR+;(401094008 + 62038004);(116752009 + 117554003 + 413919004):260864003=(401094008 + 62038004)
ki67+ Int M | Freq. of Int M;ki67+ Int M;259981004;Freq. of Int M (Microfold cells;413919004;259981004:260864003=413919004
CD38high Int M| Freq. of Int M;CD38high Int ;116827004;Freq. of Int M;413919004;116827004:260864003=413919004
CD14-CD16+ NCM | Freq. of NKG2D-HLA-DR+;CD14-CD16+ NCM;(116752009 + 117554003 + 165540007);Freq. of NKG2D-HLA-DR+;(401094008 + 62038004);(116752009 + 117554003 + 165540007):260864003=(401094008 + 62038004)
ki67+ NCM| Freq. of NCM;ki67+ NC;259981004;Freq. of NCM (non-classical monocytes);165540007;259981004:260864003=165540007
CD38high NCM | Freq. of NCM;CD38high NCM;116827004;Freq. of NCM;165540007;116827004:260864003=165540007
Siglec-1+ | Freq. of NKG2D-HLA-DR+;Siglec-1+;;Freq. of NKG2D-HLA-DR+;(401094008 + 62038004);
NKG2D-HLA-DR+/CD14-CD16- | Freq. of NKG2D-HLA-DR+;NKG2D-HLA-DR+/CD14-CD16-;(401094008 + 62038004);Freq. of NKG2D-HLA-DR+;(401094008 + 62038004);(401094008 + 62038004):260864003=(401094008 + 62038004)
CD141+CD11c- DC1 | Freq. of CD45+ Leukocytes;CD141+CD11c- DC1;;Freq. of CD45+ Leukocytes;732272000;
CD141midCD11c+ DC2 | Freq. of CD45+ Leukocytes;CD141midCD11c+ DC2;;Freq. of CD45+ Leukocytes;732272000;
ki67+ | Freq. of DCs;ki67+;259981004;Freq. of DCs;90604005;259981004:260864003=90604005