ontology,ontology_code,ontology_comment,secondary_ontology,secondary_ontology_code,secondary_ontology_comment,snomed_vartype,dataset,name,Significato_it,description,vartype,ETL_type,dimension,details,JSON_values,Multiplicity,Doubts
loinc,53062-6,,,,,Lab_Serum,screening.csv,ASATotal,acido argininosuccinico,argininosuccinic acid,float,float,µmol/L,,,0..1,
loinc,53150-9,,,,,Lab_Serum,screening.csv,Ala,alanina,alanine,float,float,µmol/L,,,0..1,
snomed ct,106221001 : 255216001,,,,,,screening.csv,Allele 1,result of a genetic test that detects the presence or absence of a certain genetic variant (allele) associated with a hereditary disease,,,,,,,??,I need an example to generate the synthetic data
snomed ct,106221001 : 81170007,,,,,,screening.csv,Allele 2,result of a genetic test that detects the presence or absence of a certain genetic variant (allele) associated with a hereditary disease,,,,,,,??,I need an example to generate the synthetic data
loinc,47562-4,,,,,Lab_Serum,screening.csv,Arg,arginina,arginine,float,float,µmol/L,,,0..1,
loinc,42892-0,,,,,Lab_Serum,screening.csv,Cit,citrullina,citrulline,float,float,µmol/L,,,0..1,
loinc,47623-4,,,,,Lab_Serum,screening.csv,Glu,acido glutammico,glutamic acid,float,float,µmol/L,,,0..1,
loinc,47633-3,,,,,Lab_Serum,screening.csv,Gly,glicina,glycine,float,float,µmol/L,,,0..1,
loinc,53152-5,,,,,Lab_Serum,screening.csv,Leu\Ile\Pro-OH,leucina\isoleucina\idrossiprolina,leucine\isoleucine\hydroxyproline,float,float,µmol/L,,,0..1,
loinc,47700-0,,,,,Lab_Serum,screening.csv,MET,metionina,methionine,float,float,µmol/L,,,0..1,
loinc,53155-8,"LOINC code for ornitine is 40829-4, but the 53155-8 (that refers to LOINC ""Asparagine+Ornithine"") was provided by Davide as used by Buzzi",,,,Lab_Serum,screening.csv,Orn,ornitina,ornithine,float,float,µmol/L,,,0..1,
loinc,29573-3,,,,,Lab_Serum,screening.csv,PHE,fenilalanina,phenylalanine,float,float,µmol/L,,,0..1,
loinc,47732-3,,,,,Lab_Serum,screening.csv,Pro,prolina,proline,float,float,µmol/L,,,0..1,
loinc,35571-9,,,,,Lab_Serum,screening.csv,TYR,tirosina,tyrosine,float,float,µmol/L,,,0..1,
loinc,47799-2,,,,,Lab_Serum,screening.csv,Val,valina,valina,float,float,µmol/L,,,0..1,
loinc,1982-8,,,,,Lab_Serum,screening.csv,BTD,human biotinidase activity,human biotinidase activity,float,float,U/dl,,,0..1,
loinc,38481-8,,,,,Lab_Serum,screening.csv,C0,carnitina libera,free carnitine,float,float,µmol/L,,,0..1,
loinc,50157-7,,,,,Lab_Serum,screening.csv,C2,acetilcarnitina,acetylcarnitine,float,float,µmol/L,,,0..1,
loinc,53160-8,,,,,Lab_Serum,screening.csv,C3,propionilcarnitina,propionylcarnitine,float,float,µmol/L,,,0..1,
loinc,67708-8,,,,,Lab_Serum,screening.csv,C3DC\C4OH,malonilcarnitina\3-idrossi-butirilcarnitina,malonylcarnitine\3-hydroxy-butyrylcarnitine,float,float,µmol/L,,,0..1,
loinc,53166-5,"LOINC code provided by Davide 53166-5 refers to ""Butyrylcarnitine+Isobutyrylcarnitine (C4)"".
While LOINC has a code 35655-0 for ""Butyrylcarnitine (C4)""",,,,Lab_Serum,screening.csv,C4,butirilcarnitina,butyrylcarnitine,float,float,µmol/L,,,0..1,
loinc,67709-6,,,,,Lab_Serum,screening.csv,C4DC\C5OH,metilmalonile\3-idrossi-isovalerilcarnitina,methylmalonyl\3-hydroxy-isovalerylcarnitine,float,float,µmol/L,,,0..1,
loinc,45216-9,"Davide provided LOINC code 45216-9 that refers to ""Isovalerylcarnitine+Methylbutyrylcarnitine (C5)"".
LOINC has code ""42920-9"" that refers to ""Isovalerylcarnitine (C5)"" in Bld.dot, and 39009-6 to ""Isovalerylcarnitine (C5)"" in Ser/Plas",,,,Lab_Serum,screening.csv,C5,isovalerilcarnitina,isovalerylcarnitine,float,float,µmol/L,,,0..1,
loinc,53170-7,,,,,Lab_Serum,screening.csv,C5:1,tiglilcarnitina,tiglylcarnitine,float,float,µmol/L,,,0..1,
loinc,67710-4,,,,,Lab_Serum,screening.csv,C5DC\C6OH,glutarilcarnitina\3-idrossi-esanoilcarnitina,glutarylcarnitine\3-hydroxy-hexanoylcarnitine,float,float,µmol/L,,,0..1,
loinc,45211-0,,,,,Lab_Serum,screening.csv,C6,esanoilcarnitina,hexanoylcarnitine,float,float,µmol/L,,,0..1,
loinc,53187-1,"LOINC code 74628-9 is for ""Adipoylcarnitine (C6-DC)"" in Bld.dot.
The code 53187-1 provided by Davide refers to ""Methylglutarylcarnitine (C6-DC)"" in Bld.dot.",,,,Lab_Serum,screening.csv,C6DC,adipilcarnitina,adipylcarnitine,float,float,µmol/L,,,0..1,
loinc,53175-6,,,,,Lab_Serum,screening.csv,C8,ottanoilcarnitina,octanoylcarnitine,float,float,µmol/L,,,0..1,
loinc,53174-9,,,,,Lab_Serum,screening.csv,C8:1,octenoilcarnitina,octenoylcarnitine,float,float,µmol/L,,,0..1,
loinc,45197-1,,,,,Lab_Serum,screening.csv,C10,decanoilcarnitina,decanoylcarnitine,float,float,µmol/L,,,0..1,
loinc,45198-9,,,,,Lab_Serum,screening.csv,C10:1,decenoilcarnitina,decenoylcarnitine,float,float,µmol/L,,,0..1,
loinc,53180-6,,,,,Lab_Serum,screening.csv,C10:2,decadienoilcarnitina,decayenoylcarnitine,float,float,µmol/L,,,0..1,
loinc,45199-7,,,,,Lab_Serum,screening.csv,C12,dodecanoilcarnitina,dodecanoylcarnitine,float,float,µmol/L,,,0..1,
loinc,45200-3,,,,,Lab_Serum,screening.csv,C12:1,dodecenoilcarnitina,dodecenoylcarnitine,float,float,µmol/L,,,0..1,
loinc,53192-1,,,,,Lab_Serum,screening.csv,C14,tetradecanoilcarnitina (miristoilcarnitina),tetradecanoylcarnitine (myristoylcarnitine),float,float,µmol/L,,,0..1,
loinc,53191-3,,,,,Lab_Serum,screening.csv,C14:1,tetradecenoilcarnitina,tetradecenoylcarnitine,float,float,µmol/L,,,0..1,
loinc,53190-5,,,,,Lab_Serum,screening.csv,C14:2,tetradecadienoilcarnitina,tetradecadienoylcarnitine,float,float,µmol/L,,,0..1,
loinc,50281-5,,,,,Lab_Serum,screening.csv,C14-OH,3-idrossi-tetradecanoilcarnitina,3-hydroxy-tetradecanoylcarnitine,float,float,µmol/L,,,0..1,
loinc,53199-6,"LOINC code 53199-6 provided by Davide refers to ""Palmitoylcarnitine (C16)"", but also foundable by ""hexadecanoylcarnitine"". So, the code is fine.",,,,Lab_Serum,screening.csv,C16,esadecanoilcarnitina,hexadecanoylcarnitine,float,float,µmol/L,,,0..1,
loinc,53198-8,"Code 53198-8 from Davide refers to ""Palmitoleylcarnitine (C16:1)"", with additional ""leyl"" compared to C16, but ""hexadecenoleylcarnitine"" doesn't exist. So, that is fine as it is.",,,,Lab_Serum,screening.csv,C16:1,esadecenoilcarnitina,hexadecenoylcarnitine,float,float,µmol/L,,,0..1,
loinc,50121-3,"50121-3 refers to ""3-Hydroxypalmitoleylcarnitine (C16:1-OH)"", while 50125-4 to ""3-Hydroxypalmitoylcarnitine (C16-OH)"". Thus, the codes provided by Davide should be switched - not yet done (need to ask Buzz lab whether they coded variable names correctly).",,,,Lab_Serum,screening.csv,C16-OH,3-idrossi-esadecanoilcarnitina,3-hydroxy-hexadecanoylcarnitine,float,float,µmol/L,,,0..1,
loinc,50125-4,,,,,Lab_Serum,screening.csv,C16:1-OH,3-idrossi-esadecenoilcarnitina,3-hydroxy-hexadecenoylcarnitine,float,float,µmol/L,,,0..1,
loinc,53241-6,,,,,Lab_Serum,screening.csv,C18,ottadecanoilcarnitina (stearoilcarnitina),octadecanoylcarnitine (stearoylcarnitine),float,float,µmol/L,,,0..1,
loinc,53202-8,,,,,Lab_Serum,screening.csv,C18:1,ottadecenoilcarnitina (oleilcarnitina),octadecenoylcarnitine (oleylcarnitine),float,float,µmol/L,,,0..1,
loinc,45217-7,,,,,Lab_Serum,screening.csv,C18:2,ottadecadienoilcarnitina (linoleilcarnitina),octadecadienoylcarnitine (linoleylcarnitine),float,float,µmol/L,,,0..1,
loinc,50132-0,,,,,Lab_Serum,screening.csv,C18-OH,3-idrossi-ottadecanoilcarnitina,3-hydroxy-octadecanoylcarnitine,float,float,µmol/L,,,0..1,
loinc,50113-0,,,,,Lab_Serum,screening.csv,C18:1-OH,3-idrossi-ottacedecenoilcarnitina,3-hydroxy-octacedecenoylcarnitine,float,float,µmol/L,,,0..1,
loinc,50109-8,,,,,Lab_Serum,screening.csv,C18:2OH,3-idrossi-ottadecadienoilcarnitina,3-hydroxy-octadecadienoylcarnitine,float,float,µmol/L,,,0..1,
loinc,53462-8,,,,,Lab_Serum,screening.csv,C20,eicosanoilcarnitina (arachidoilcarnitina),eicosanoylcarnitine (peanutylcarnitine),float,float,µmol/L,,,0..1,
loinc,53543-5,,,,,Lab_Serum,screening.csv,C22,docosanoilcarnitina (beenonilcarnitina),docosanoylcarnitine (beenonylcarnitine),float,float,µmol/L,,,0..1,
CLIR,M-001827,"LOINC has code 30195-2 for ""Fatty acids.very long chain.C24:0"" in Ser/Plas. Probably will be better to use LOINC instead of CLIR. To be decided after a consultation with Buzzi lab.",,,,Lab_Serum,screening.csv,C24,tetracosanoilcarnitina (lignoceroilcarnitina),tetracosanoylcarnitine (lignoceroylcarnitine),float,float,µmol/L,,,0..1,
loinc,79321-6,,,,,Lab_Serum,screening.csv,C26,esacosanoilcarnitina (cerotolcarnitina),hexacosanoylcarnitine (cerotolcarnitine),float,float,µmol/L,,,0..1,
loinc,53231-7,,,,,Lab_Serum,screening.csv,SA,succinilacetone,succinylacetone,float,float,µmol/L,,,0..1,
CLIR,M-004315,"LOINC has a bunch of codes for mono-, di- and tri-adenosine-phosphates. Need to ask Buzzi which one they determine.",,,,Lab_Serum,screening.csv,ADO,adenosina,adenosine,float,float,µmol/L,,,0..1,
CLIR,M-004316,LOINC has code 75122-2 for Deoxyadenosine in Ser/Plas but in nmol/L,,,,Lab_Serum,screening.csv,D-ADO,2\'-deossiadenosina,2\'-deoxyadenosine,float,float,µmol/L,,,0..1,
CLIR,M-000101,For C20-C26 LOINC has codes only in ug/dL but not in micromol/L,,,,Lab_Serum,screening.csv,C20:0-LPC,C20:0 lisofosfatidilcolina,C20:0 lysophosphatidylcholine,float,float,µmol/L,,,0..1,
CLIR,M-000001,,,,,Lab_Serum,screening.csv,C22:0-LPC,C22:0 lisofosfatidilcolina,C22:0 lysophosphatidylcholine,float,float,µmol/L,,,0..1,
CLIR,M-000002,,,,,Lab_Serum,screening.csv,C24:0-LPC,C24:0 lisofosfatidilcolina,C24:0 lysophosphatidylcholine,float,float,µmol/L,,,0..1,
loinc,79321-6,,,,,Lab_Serum,screening.csv,C26:0-LPC,C26:0 lisofosfatidilcolina,C26:0 lysophosphatidylcholine,float,float,µmol/L,,,0..1,
loinc,29575-8,,,,,Lab_Serum,screening.csv,s-TSH,human tyroid stimulating hormone,human thyroid stimulating hormone,float,float,µU/mL,,,0..1,
loinc,48633-2,"LOINC measures it in ug/L, but it is fine.",,,,Lab_Serum,screening.csv,IRT-GSP,human immunoreactive trypsin(ogen),human immunoreactive trypsin(ogen),float,float,ng/mL,,,0..1,
loinc,54084-9,,,,,Lab_Serum,screening.csv,TGAL,total galactose (galactose and galactose 1-phospate),total galactose (galactose and galactose 1-phospate),float,float,mg/dl,,,0..1,
loinc,82385-6,LOINC measures it in nmol/mL,,,,Lab_Serum,screening.csv,MMA,acido metilmalonico,methylmalonic acid,float,float,µM,,,0..1,
loinc,2265-7,"LOINC code 2265-7 is for urine, while 82502-6 is for Bld.dot in nmol/mL, and 79476-8 for Ser/Plas in umol/L",,,,Lab_Serum,screening.csv,EMA,acido etilmalonico,ethylmalonic acid,float,float,µM,,,0..1,
loinc,25104-1,"LOINC code 25104-1 is for ""Glutarate/Creatinine"" in mmol/mol{creat}, while 82504-2 is for Glutarate in Bld.dot in nmol/mL",,,,Lab_Serum,screening.csv,GA,acido glutarico,glutaric acid,float,float,µM,,,0..1,
loinc,75037-2,This LOINC code is for umol/L,,,,Lab_Serum,screening.csv,2OH GA,acido 2-OH glutarico,2-OH glutaric acid,float,float,µM,,,0..1,
CLIR,M-000797,LOINC code 82505-9 is for 3-Hydroxyglutarate in Bld.dot in nmol/mL.,,,,Lab_Serum,screening.csv,3OH GA,acido 3-OH glutarico,3-OH glutaric acid,float,float,µM,,,0..1,
loinc,54301-7,,,,,Lab_Serum,screening.csv,HCYs,omocisteina,homocysteine,float,float,µM,,,0..1,
loinc,47536-8,LOINC code 47536-8 is for 3-Hydroxypropionate in Plas in umol/L,,,,Lab_Serum,screening.csv,3OH PA,acido 3-OH propionico,3-OH propionic acid,float,float,µM,,,0..1,
loinc,26904-3,LOINC code is for nmol/L,,,,Lab_Serum,screening.csv,MCA,acido metilcitrico,methylcitric acid,float,float,µM,,,0..1,
loinc,13963-4,"LOINC code 13963-4 is for Orotate in Urine in umol/L, while 69772-2 is for Orotate in Ser/Plas in umol/L",,,,Lab_Serum,screening.csv,OROTICO,acido orotico,orotic acid,float,float,µM,,,0..1,
PubChem,126894,,,,,Lab_Serum,screening.csv,PIVA,pivaloilcarnitina,pivaloylcarnitine,float,float,µM,,,0..1,
loinc,30531-8,"LOINC code 30531-8 is for ""Isovalerylcarnitine+Methylbutyrylcarnitine (C5)"" in Ser/Pla in umol/L, while 45216-9 is for Bld.dot in umol/L",,,,Lab_Serum,screening.csv,2MBC,2-metilbutirrilcarnitina,2-methylbutyrylcarnitine,float,float,µM,,,0..1,
loinc,53065-9,,,,,Lab_Serum,screening.csv,c4-b,butirrilcarnitina,butyrylcarnitine,float,float,µM,,,0..1,
loinc,45213-6,,,,,Lab_Serum,screening.csv,c4-i,isobutirrilcarnitina,isobutyrylcarnitine,float,float,µM,,,0..1,
snomed ct,184099003,,loinc,21112-8,,,screening.csv,DateOfBirth,Data di nascita,Date of birth,datetime64,datetime,,Format {yyyy/mm/dd},,0..1,
snomed ct,734000001,,loinc,46098-0,,,screening.csv,Sex,Sesso,Sex,category,category,,{M} Male\\{F} Female,"[{""value"": ""M"", ""explanation"": ""Male"", ""snomed_ct"": ""248153007""}, {""value"": ""F"", ""explanation"": ""Female"", ""snomed_ct"": ""248152002""}]",0..1,
loinc,68997-6,,,,,,screening.csv,City,Città di residenza,City of residence,str,str,,,,0..1,
loinc,79566-6,"LOINC code 79566-6 ids for ""Bld.dot"" Collection method",,,,,screening.csv,Sampling,Tipo di prelievo ,Blood sampling type,category,category,,,,0..1,I need a raw data example to generate the synthetic data
loinc,49051-6,LOINC code 49051-6 is for Gestational age in weeks,,,,,screening.csv,GestationalAge,Età gestazionale ,Gestational age,int,int,settimane e giorni,,,0..1,
loinc,46463-6,"LOINC code 46463-6 i for Race or ethnicity with a possible fixed values covering only major ethnic groups (see https://loinc.org/46463-6) but not a mixture of country names (Italy, Marocco, etc) and etnicities (Afro-caraibica, Medio-Orientale, Caucasian, etc) as occures in Buzzi data. Need to ask Buzzi which classification they used.",,,,,screening.csv,Ethnicity,Origine geografica,Geographical origin,category,category,,,,0..1,I need a raw data example to generate the synthetic data
loinc,57723-9,,,,,,screening.csv,SampleBarcode,Barcode campione,Sample ID,str,str,,There may be several rows for same patient in case multiple tests have been done,,*,
loinc,57718-9,,,,,,screening.csv,SampleQuality,Qualità del campione,Sample quality,category,category,,{inadeguata} inadequate\\{insufficiente} insufficient\\{ok} OK,"[{""value"": ""inadeguata"", ""explanation"": ""inadequate"", ""snomed_ct"": ""71978007""}, {""value"": ""insufficiente"", ""explanation"": ""insufficient"", ""snomed_ct"": ""423437008""}, {""value"": ""ok"", ""explanation"": ""OK"", ""snomed_ct"": ""88323005""}]",0..1,
loinc,51953-8,,,,,,screening.csv,SamTimeCollected,Data prelievo,Blood sampling date,datetime64,datetime,,Format {yyyy/mm/dd},,0..1,
loinc,63572-2,,,,,,screening.csv,SamTimeReceived,Data arrivo in laboratorio,Date of arrival in the laboratory,datetime64,datetime,,Format {yyyy/mm/dd},,0..1,
loinc,56056-5,"LOINC code 56056-5 is for ""Birth weight - Reported"" in kg while 8339-4 is for ""Birth weight Measured"" in kg:g - the later is more adequate since ""measured""",,,,,screening.csv,Weight,Peso del bambino,Baby weight,int,int,g,,,0..1,
snomed ct,371070000,,,,,,screening.csv,AntibioticsBaby,Assunzione antibiotici bambino ,Child taking antibiotics,category,bool,,{0} or {NA} No\\{1} Yes,"[{""value"": ""0"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""NA"", ""explanation"": ""NA"", ""snomed_ct"": ""276727009""}, {""value"": ""1"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",1,
snomed ct,68322007,,,,,,screening.csv,AntibioticsMother,Assunzione antibiotici madre ,Mother taking antibiotics,category,bool,,{0} or {NA} No\\{1} Yes,"[{""value"": ""0"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""NA"", ""explanation"": ""NA"", ""snomed_ct"": ""276727009""}, {""value"": ""1"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",1,
snomed ct,206523001,,,,,,screening.csv,Meconium,Ileo meconio ,Ileus meconium,category,bool,,{0} or {NA} No\\{1} Yes,"[{""value"": ""0"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""NA"", ""explanation"": ""NA"", ""snomed_ct"": ""276727009""}, {""value"": ""1"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",1,
snomed ct,778872007 : 67822003,,,,,,screening.csv,CortisoneBaby,Assunzione cortisone,Child cortisone intake,category,bool,,{0} or {NA} No\\{1} Yes,"[{""value"": ""0"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""NA"", ""explanation"": ""NA"", ""snomed_ct"": ""276727009""}, {""value"": ""1"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",1,
snomed ct,778872007 : 72705000,,,,,,screening.csv,CortisoneMother,Assunzione cortisone madre ,Mother cortisone intake,category,bool,,{0} or {NA} No\\{1} Yes,"[{""value"": ""0"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""NA"", ""explanation"": ""NA"", ""snomed_ct"": ""276727009""}, {""value"": ""1"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",1,
snomed ct,14304000,,,,,,screening.csv,TyroidMother,Patologia tiroidea madre,Mother thyroid disease,category,bool,,{0} or {NA} No\\{1} Yes,"[{""value"": ""0"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""NA"", ""explanation"": ""NA"", ""snomed_ct"": ""276727009""}, {""value"": ""1"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",1,
snomed ct,206167009,"SNOMED code 206167009 is removed, but is the only one that defines prematurity without indication of weeks",,,,,screening.csv,Premature,Bambino prematuro,Premature baby,category,bool,,{0} or {NA} No\\{1} Yes,"[{""value"": ""0"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""NA"", ""explanation"": ""NA"", ""snomed_ct"": ""276727009""}, {""value"": ""1"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",1,
,,,,,,,screening.csv,TooYoung,Prelievo prima delle 48 ore ,Blood sampling before 48 hours after birth,category,bool,,{0} or {NA} No\\{1} Yes,"[{""value"": ""0"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""NA"", ""explanation"": ""NA"", ""snomed_ct"": ""276727009""}, {""value"": ""1"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",1,
snomed ct,230126006,,,,,,screening.csv,BabyFed,Bambino alimentato,Baby fed,category,bool,,{0} or {NA} No\\{1} Yes,"[{""value"": ""0"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""NA"", ""explanation"": ""NA"", ""snomed_ct"": ""276727009""}, {""value"": ""1"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",1,
snomed ct,289136006,,,,,,screening.csv,HUFeed,Alimentazione materna,Maternal nutrition,category,bool,,{0} or {NA} No\\{1} Yes,"[{""value"": ""0"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""NA"", ""explanation"": ""NA"", ""snomed_ct"": ""276727009""}, {""value"": ""1"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",1,
snomed ct,225525008,,,,,,screening.csv,MIXFeed,Alimentazione materna e altro,Maternal nutrition and more,category,bool,,{0} or {NA} No\\{1} Yes,"[{""value"": ""0"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""NA"", ""explanation"": ""NA"", ""snomed_ct"": ""276727009""}, {""value"": ""1"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",1,
snomed ct,61420007,,,,,,screening.csv,ARTFeed,Alimentazione artificiale,Artificial nutrition,category,bool,,{0} or {NA} No\\{1} Yes,"[{""value"": ""0"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""NA"", ""explanation"": ""NA"", ""snomed_ct"": ""276727009""}, {""value"": ""1"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",1,
snomed ct,1217194002,,,,,,screening.csv,TPNFeed,Alimentazione parenterale ,Parenteral nutrition,category,bool,,{0} or {NA} No\\{1} Yes,"[{""value"": ""0"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""NA"", ""explanation"": ""NA"", ""snomed_ct"": ""276727009""}, {""value"": ""1"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",1,
snomed ct,1217195001,,,,,,screening.csv,ENFeed,Alimentazione enterale ,Enteral feeding,category,bool,,{0} or {NA} No\\{1} Yes,"[{""value"": ""0"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""NA"", ""explanation"": ""NA"", ""snomed_ct"": ""276727009""}, {""value"": ""1"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",1,
snomed ct,80174572 :1217194002,,,,,,screening.csv,TPNCARNFeed,Alimentazione parenterale con carnitina ,Parenteral nutrition with carnitine,category,bool,,{0} or {NA} No\\{1} Yes,"[{""value"": ""0"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""NA"", ""explanation"": ""NA"", ""snomed_ct"": ""276727009""}, {""value"": ""1"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",1,
snomed ct,7631003 : 1217194002,,,,,,screening.csv,TPNMCTFeed,Alimentazione parenterale con MCT,Parenteral nutrition with Medium chain triglycerides (MCT),category,bool,,{0} or {NA} No\\{1} Yes,"[{""value"": ""0"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}, {""value"": ""NA"", ""explanation"": ""NA"", ""snomed_ct"": ""276727009""}, {""value"": ""1"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}]",1,
loinc,62330-6,,,,,,screening.csv,Hospital,Nome ospedale richiedente screening,Name of hospital requesting screening,str,str,,,,0..1,
,,,,,,,screening.csv,AnswerIX,Fase dell'analisi ,Analysis phase,category,category,,"{1}, {2}, {3}, {4}",,0..1,I need a more detailed description of the meaning of this field to generate the synthetic data
snomed ct,236973005,,,,,,screening.csv,BirthMethod,Metodo di nascita ,Birth method,category,category,,{naturale} Natural\\{cesareo} Cesarean\\{altro} Other,"[{""value"": ""naturale"", ""explanation"": ""Natural"", ""snomed_ct"": ""386637004""}, {""value"": ""cesareo"", ""explanation"": ""Cesarean"", ""snomed_ct"": ""11466000""}, {""value"": ""altro"", ""explanation"": ""Other"", ""snomed_ct"": ""236991000""}]",0..1,
,,,,,,,screening.csv,BIS,Flag per indicare se si tratta di campione BIS,Flag to indicate whether it is a BIS sample,str,str,,,,1,
snomed ct,28030000,,,,,,screening.csv,Twins,gemello ,Twin,category,bool,,{si} Yes\\{no} No,"[{""value"": ""si"", ""explanation"": ""Yes"", ""snomed_ct"": ""373066001""}, {""value"": ""no"", ""explanation"": ""No"", ""snomed_ct"": ""373067005""}]",1,"The metadata says Si/no, but the data uses 1 for twins and empty cell for unique children"
,,,,,,,screening.csv,id,identifier,Identifier,int,int,,,,1,
,,,,,,,diagnoses.csv,id,,Patient ID,str,str,,,,1,"This column is labelled ""Case ID"" in the data! This looks like SampleBarcode ids. We need to know exactly what is this column about"
snomed ct,782964007,,,,,,diagnoses.csv,diagnosis,,Diagnosis,str,regex,,Free text,,??,Is this field related to the Diagnosis list? How is the diagnosis encoded? Are there one or multiple diagnosis?